Date : 2024-02-29 22:24:48
Directory : /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres
Total : 57 files,  7530 codes, 62 comments, 246 blanks, all 7838 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JSON           |          2 |      6,012 |          0 |          2 |      6,014 |
| JavaScript JSX |         28 |      1,238 |         53 |        195 |      1,486 |
| CSS            |         16 |        125 |          8 |         35 |        168 |
| XML            |          5 |         93 |          0 |          2 |         95 |
| JavaScript     |          4 |         41 |          1 |          5 |         47 |
| HTML           |          1 |         16 |          0 |          3 |         19 |
| Markdown       |          1 |          5 |          0 |          4 |          9 |
+----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                   |         57 |      7,530 |         62 |        246 |      7,838 |
| . (Files)                                                                                                           |          8 |      6,074 |          1 |         14 |      6,089 |
| public                                                                                                              |          1 |          1 |          0 |          0 |          1 |
| src                                                                                                                 |         48 |      1,455 |         61 |        232 |      1,748 |
| src (Files)                                                                                                         |          4 |        117 |          3 |         22 |        142 |
| src/assets                                                                                                          |          4 |         92 |          0 |          2 |         94 |
| src/assets (Files)                                                                                                  |          1 |          1 |          0 |          0 |          1 |
| src/assets/logo                                                                                                     |          2 |         90 |          0 |          2 |         92 |
| src/assets/photos                                                                                                   |          1 |          1 |          0 |          0 |          1 |
| src/components                                                                                                      |         12 |        402 |         26 |         61 |        489 |
| src/components (Files)                                                                                              |          3 |        120 |         21 |         17 |        158 |
| src/components/AboutPage                                                                                            |          1 |         50 |          0 |         11 |         61 |
| src/components/ContactUs                                                                                            |          2 |         94 |          0 |         10 |        104 |
| src/components/Footer                                                                                               |          1 |         34 |          1 |          3 |         38 |
| src/components/HomePage                                                                                             |          1 |         45 |          1 |          8 |         54 |
| src/components/education                                                                                            |          3 |         26 |          2 |          6 |         34 |
| src/components/education/backend                                                                                    |          1 |          0 |          0 |          1 |          1 |
| src/components/education/blockchain                                                                                 |          1 |         26 |          2 |          4 |         32 |
| src/components/education/ml                                                                                         |          1 |          0 |          0 |          1 |          1 |
| src/components/smoothTransition                                                                                     |          1 |         33 |          1 |          6 |         40 |
| src/icons                                                                                                           |          1 |          4 |          1 |          4 |          9 |
| src/services                                                                                                        |         27 |        840 |         31 |        143 |      1,014 |
| src/services (Files)                                                                                                |          1 |          6 |          0 |          2 |          8 |
| src/services/ArchitectureDesign                                                                                     |          1 |         39 |          0 |          6 |         45 |
| src/services/backend                                                                                                |          6 |        165 |          4 |         30 |        199 |
| src/services/backend/API                                                                                            |          2 |         64 |          2 |         13 |         79 |
| src/services/backend/library-development                                                                            |          2 |         55 |          0 |          9 |         64 |
| src/services/backend/security-solutions                                                                             |          2 |         46 |          2 |          8 |         56 |
| src/services/blockchain                                                                                             |         11 |        364 |         13 |         59 |        436 |
| src/services/blockchain/DeFi                                                                                        |          2 |         50 |          0 |          9 |         59 |
| src/services/blockchain/blockchain-integration                                                                      |          2 |        109 |          6 |         17 |        132 |
| src/services/blockchain/blockchain-security                                                                         |          2 |         46 |          0 |          8 |         54 |
| src/services/blockchain/decentralizedIdentity                                                                       |          2 |         48 |          1 |          7 |         56 |
| src/services/blockchain/smart-contract                                                                              |          2 |         66 |          5 |         11 |         82 |
| src/services/blockchain/token-development                                                                           |          1 |         45 |          1 |          7 |         53 |
| src/services/cloud                                                                                                  |          2 |         87 |          0 |         16 |        103 |
| src/services/cloud/aws                                                                                              |          2 |         87 |          0 |         16 |        103 |
| src/services/cryptography                                                                                           |          6 |        179 |         14 |         30 |        223 |
| src/services/cryptography/FHE                                                                                       |          2 |         53 |          1 |          8 |         62 |
| src/services/cryptography/RSA                                                                                       |          2 |         72 |          8 |         12 |         92 |
| src/services/cryptography/ZKP                                                                                       |          2 |         54 |          5 |         10 |         69 |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                            | language       | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/.eslintrc.cjs                                                 | JavaScript     |         21 |          0 |          1 |         22 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/README.md                                                     | Markdown       |          5 |          0 |          4 |          9 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/index.html                                                    | HTML           |         16 |          0 |          3 |         19 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/package-lock.json                                             | JSON           |      5,971 |          0 |          1 |      5,972 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/package.json                                                  | JSON           |         41 |          0 |          1 |         42 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/postcss.config.js                                             | JavaScript     |          6 |          0 |          1 |          7 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/public/vite.svg                                               | XML            |          1 |          0 |          0 |          1 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/App.css                                                   | CSS            |         38 |          0 |          8 |         46 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/App.jsx                                                   | JavaScript JSX |         64 |          3 |          9 |         76 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/assets/logo/Apegres-logo-white.svg                        | XML            |          9 |          0 |          0 |          9 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/assets/logo/logo.svg                                      | XML            |         81 |          0 |          2 |         83 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/assets/photos/jwt-icon.svg                                | XML            |          1 |          0 |          0 |          1 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/assets/react.svg                                          | XML            |          1 |          0 |          0 |          1 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/components/AboutPage/page.jsx                             | JavaScript JSX |         50 |          0 |         11 |         61 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/components/ContactUs/App.module.css                       | CSS            |          9 |          0 |          2 |         11 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/components/ContactUs/page.jsx                             | JavaScript JSX |         85 |          0 |          8 |         93 |
| /Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/components/Footer/page.jsx                                | JavaScript JSX |         34 |          1 |          3 |         38 |
